uniqueid,dateofbite,species,breed,age,gender,spayneuter,borough,zipcode,year
1,2018-01-01,DOG,UNKNOWN,,U,False,Brooklyn,11220,2018
2,2018-01-04,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
3,2018-01-06,DOG,Pit Bull,,U,False,Brooklyn,11224,2018
4,2018-01-08,DOG,Mixed/Other,4,M,False,Brooklyn,11231,2018
5,2018-01-09,DOG,Pit Bull,,U,False,Brooklyn,11224,2018
6,2018-01-03,DOG,BASENJI,4Y,M,False,Brooklyn,11231,2018
7,2018-01-01,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
8,2018-01-03,DOG,Pit Bull,,U,False,Brooklyn,11233,2018
9,2018-01-04,DOG,American Pit Bull Mix / Pit Bull Mix,5Y,M,False,Brooklyn,11235,2018
10,2018-01-10,DOG,MIXED,3Y,F,False,Brooklyn,11208,2018
11,2018-01-06,DOG,,,U,False,Brooklyn,11215,2018
12,2018-01-07,DOG,Yorkshire Terrier Crossbreed,7,M,True,Brooklyn,11208,2018
13,2018-01-06,DOG,Great Dane,6,F,True,Brooklyn,0,2018
14,2018-01-01,DOG,Pit Bull,,U,False,Brooklyn,11220,2018
15,2018-01-09,DOG,Labradoodle,5,F,True,Brooklyn,11238,2018
16,2018-01-01,DOG,West High White Terrier,,M,False,Brooklyn,11207,2018
17,2018-01-14,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11205,2018
18,2018-01-07,DOG,,,U,False,Brooklyn,11209,2018
19,2018-01-13,DOG,MIXED,7,M,False,Brooklyn,11237,2018
20,2018-01-10,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11233,2018
21,2018-01-15,DOG,"Poodle, Miniature",8,M,True,Brooklyn,11217,2018
22,2018-01-13,DOG,American Pit Bull Terrier/Pit Bull,11,F,True,Brooklyn,11236,2018
23,2018-01-13,DOG,UNKNOWN,,U,False,Brooklyn,11234,2018
24,2018-01-09,DOG,UNKNOWN,,U,False,Brooklyn,11220,2018
25,2018-01-01,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
26,2018-01-18,DOG,Pekingese,3,M,True,Brooklyn,11220,2018
27,2018-01-08,DOG,POODLE X,13Y,M,True,Brooklyn,11215,2018
28,2018-01-18,DOG,Labrador Retriever Crossbreed,11,M,True,Brooklyn,11214,2018
29,2018-01-18,DOG,American Pit Bull Terrier/Pit Bull,2,F,True,Brooklyn,11230,2018
30,2018-01-17,DOG,Dachshund Smooth Coat,2,M,False,Brooklyn,11211,2018
31,2018-01-20,DOG,Pit Bull,,U,False,Brooklyn,11224,2018
32,2018-01-21,DOG,,2,M,True,Brooklyn,11231,2018
33,2018-01-23,DOG,MIXED,,F,False,Brooklyn,11225,2018
34,2018-01-23,DOG,MIXED,,F,False,Brooklyn,11225,2018
35,2018-01-23,DOG,Chihuahua,4,M,False,Brooklyn,11205,2018
36,2018-01-15,DOG,Pit Bull,,U,False,Brooklyn,11208,2018
37,2018-01-23,DOG,Yorkshire Terrier,,U,False,Brooklyn,11210,2018
38,2018-01-24,DOG,Shih Tzu,,U,False,Brooklyn,11233,2018
39,2018-01-28,DOG,Pug,8,M,True,Brooklyn,11223,2018
40,2018-01-27,DOG,Maltese,,U,False,Brooklyn,11224,2018
41,2018-01-28,DOG,Mixed/Other,,U,False,Brooklyn,11214,2018
42,2018-01-29,DOG,Mixed/Other,7,F,False,Brooklyn,11232,2018
43,2018-01-27,DOG,UNKNOWN,,U,False,Brooklyn,11226,2018
44,2018-01-28,DOG,MINATURE PINSCHER X,8,M,False,Brooklyn,11214,2018
45,2018-02-01,DOG,TERRIER CROSS,4,M,False,Brooklyn,11233,2018
46,2018-01-31,DOG,Shih Tzu,,U,False,Brooklyn,11215,2018
47,2018-02-01,DOG,"Dachshund, Wirehaired, Miniature",10M,M,False,Brooklyn,0,2018
48,2018-01-29,DOG,AMERICAN STAFF X,3,M,True,Brooklyn,11201,2018
49,2018-02-02,DOG,,,U,False,Brooklyn,11212,2018
50,2018-02-05,DOG,Bichon Frise,,U,False,Brooklyn,11212,2018
51,2018-02-05,DOG,German Shepherd,1,M,False,Brooklyn,11236,2018
52,2018-01-31,DOG,Pit Bull,,U,False,Brooklyn,0,2018
53,2018-02-04,DOG,Pit Bull,,U,False,Brooklyn,11201,2018
54,2018-02-04,DOG,MIXED BREED,,U,False,Brooklyn,11211,2018
55,2018-01-29,DOG,MIXED,5,M,False,Brooklyn,11236,2018
56,2018-01-21,DOG,Pit Bull,,U,False,Brooklyn,11207,2018
57,2018-01-21,DOG,Pit Bull,,U,False,Brooklyn,11207,2018
58,2018-02-09,DOG,Chihuahua,9M,M,False,Brooklyn,11233,2018
59,2018-02-07,DOG,American Pit Bull Terrier/Pit Bull,2,M,False,Brooklyn,11216,2018
60,2018-02-13,DOG,MIXED BREED,,M,False,Brooklyn,11231,2018
61,2018-02-05,DOG,American Pit Bull Mix / Pit Bull Mix,6,M,False,Brooklyn,11234,2018
62,2018-02-12,DOG,German Shepherd,3,M,False,Brooklyn,11235,2018
63,2018-02-15,DOG,MIXED BREED,,U,False,Brooklyn,11215,2018
64,2018-02-10,DOG,Labrador Retriever,5,M,True,Brooklyn,11239,2018
65,2018-02-11,DOG,Rottweiler,,U,False,Brooklyn,0,2018
66,2018-02-16,DOG,SHIH TZU X,9,M,False,Brooklyn,11236,2018
67,2018-02-14,DOG,CANE CORSO/BLUE NOSED PIT BULLX,10,M,False,Brooklyn,11216,2018
68,2018-02-18,DOG,POMERANIAN MIX,8M,M,False,Brooklyn,0,2018
69,2018-02-19,DOG,Norfolk Terrier,,U,False,Brooklyn,11231,2018
70,2018-02-20,DOG,BORDER COLLIE MIX,3,F,False,Brooklyn,11216,2018
71,2018-02-16,DOG,Beagle Crossbreed,4,F,True,Brooklyn,11209,2018
72,2018-02-19,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,False,Brooklyn,11212,2018
73,2018-02-17,DOG,POODLE MIX,4,M,True,Brooklyn,11230,2018
74,2018-02-11,DOG,UNCERTAIN,,U,False,Brooklyn,11220,2018
75,2018-02-17,DOG,MIXED BREED,2,F,True,Brooklyn,11201,2018
76,2018-02-21,DOG,,,U,False,Brooklyn,11231,2018
77,2018-02-07,DOG,Labrador Retriever Crossbreed,4,F,True,Brooklyn,11219,2018
78,2018-02-09,DOG,Chihuahua,7,M,True,Brooklyn,11214,2018
79,2018-02-22,DOG,American Pit Bull Terrier/Pit Bull,2,F,False,Brooklyn,11233,2018
80,2018-02-24,DOG,Pit Bull,3,F,True,Brooklyn,11236,2018
81,2018-02-25,DOG,Yorkshire Terrier,,F,False,Brooklyn,11234,2018
82,2018-02-24,DOG,Rottweiler,,U,False,Brooklyn,11233,2018
83,2018-02-25,DOG,Pit Bull,3,M,False,Brooklyn,11218,2018
84,2018-02-26,DOG,MINI PINSCHER/POMERANIAN X,8,M,True,Brooklyn,11214,2018
85,2018-02-27,DOG,Pit Bull,3,F,False,Brooklyn,11208,2018
86,2018-02-26,DOG,"Poodle, Standard",5,F,False,Brooklyn,11220,2018
87,2018-02-17,DOG,Pit Bull,,U,False,Brooklyn,11233,2018
88,2018-02-26,DOG,Labradoodle,8,M,True,Brooklyn,11201,2018
89,2018-03-04,DOG,UNCERTAIN,,U,False,Brooklyn,11206,2018
90,2018-03-03,DOG,Australian Silky Terrier,6,M,True,Brooklyn,11208,2018
91,2018-03-02,DOG,Cocker Spaniel,2,M,False,Brooklyn,11209,2018
92,2018-03-04,DOG,Beagle Crossbreed,,U,False,Brooklyn,11215,2018
93,2018-03-04,DOG,Siberian Husky,5,F,True,Brooklyn,11234,2018
94,2018-03-05,DOG,MIXED BREED,3,M,False,Brooklyn,11225,2018
95,2018-03-04,DOG,American Pit Bull Mix / Pit Bull Mix,4,M,True,Brooklyn,0,2018
96,2018-02-28,DOG,SHEPHERD/POINTER X,1,M,True,Brooklyn,11209,2018
97,2018-03-05,DOG,Boxer,,U,False,Brooklyn,11215,2018
98,2018-03-06,DOG,Shih Tzu,,U,False,Brooklyn,0,2018
99,2018-03-06,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11220,2018
100,2018-03-06,DOG,MIXED BREED,13,M,True,Brooklyn,11229,2018
101,2018-03-03,DOG,TERRIER MIX,5,M,False,Brooklyn,11234,2018
102,2018-02-21,DOG,German Shepherd,,U,False,Brooklyn,11219,2018
103,2018-03-04,DOG,,,U,False,Brooklyn,11236,2018
104,2018-02-22,DOG,UNCERTAIN,,U,False,Brooklyn,11212,2018
105,2018-03-11,DOG,Pit Bull,2,F,True,Brooklyn,11234,2018
106,2018-03-12,DOG,Siberian Husky,2,M,False,Brooklyn,11219,2018
107,2018-03-11,DOG,Pit Bull,4M,F,False,Brooklyn,11231,2018
108,2018-03-09,DOG,Labrador Retriever,10W,M,False,Brooklyn,11222,2018
109,2018-03-15,DOG,Beagle,7,M,True,Brooklyn,11220,2018
110,2018-03-17,DOG,Jack Russ,,U,False,Brooklyn,11229,2018
111,2018-03-17,DOG,Rottweiler,4,M,True,Brooklyn,11206,2018
112,2018-03-17,DOG,Labrador Retriever Crossbreed,2,M,True,Brooklyn,11223,2018
113,2018-03-18,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,False,Brooklyn,11216,2018
114,2018-03-18,DOG,MIXED BREED,11,F,False,Brooklyn,11211,2018
115,2018-03-18,DOG,MIXED BREED,9,U,False,Brooklyn,11208,2018
116,2018-03-17,DOG,MIXED BREED,2,F,False,Brooklyn,11203,2018
117,2018-03-11,DOG,MIXED BREED,6,F,True,Brooklyn,11206,2018
118,2018-03-20,DOG,UNKNOWN,,U,False,Brooklyn,11209,2018
119,2018-03-22,DOG,UNKNOWN,,U,False,Brooklyn,11215,2018
120,2018-03-17,DOG,UNKNOWN,,U,False,Brooklyn,11238,2018
121,2018-03-21,DOG,Maltese,7-8M,F,False,Brooklyn,11216,2018
122,2018-03-11,DOG,Lhasa Apso,1,M,False,Brooklyn,11226,2018
123,2018-03-26,DOG,CORGI-CHIHUAHUA X,11,M,True,Brooklyn,11225,2018
124,2018-03-22,DOG,Puggle,9,M,False,Brooklyn,11204,2018
125,2018-03-25,DOG,ENGLISH STAFFORDSHIRE TERRIER,1,M,True,Brooklyn,11215,2018
126,2018-03-23,DOG,MIXED BREED,8,M,True,Brooklyn,11218,2018
127,2018-03-26,DOG,Pit Bull,,U,False,Brooklyn,11207,2018
128,2018-03-27,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
129,2018-03-23,DOG,Shih Tzu,13,F,False,Brooklyn,11209,2018
130,2018-03-27,DOG,Bichon Frise,,U,False,Brooklyn,0,2018
131,2018-03-26,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11207,2018
132,2018-03-23,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,0,2018
133,2018-03-25,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
134,2018-03-28,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,True,Brooklyn,11221,2018
135,2018-03-29,DOG,Shih Tzu,2,F,False,Brooklyn,11237,2018
136,2018-03-30,DOG,BICHON / POODLE MIX,11,M,False,Brooklyn,11226,2018
137,2018-04-01,DOG,UNKNOWN,,U,False,Brooklyn,0,2018
138,2018-03-31,DOG,Maltese,11,M,True,Brooklyn,11215,2018
139,2018-04-04,DOG,MIXED BREED,4,F,False,Brooklyn,11208,2018
140,2018-03-31,DOG,MALTESE/ SHIH TZU X,3,M,False,Brooklyn,11234,2018
141,2018-03-31,DOG,SIBERIAN HUSKY X,4,M,False,Brooklyn,11214,2018
142,2018-04-04,DOG,MIXED BREED,10,M,False,Brooklyn,11207,2018
143,2018-04-04,DOG,MIXED BREED,10,M,False,Brooklyn,11207,2018
144,2018-04-03,DOG,MIXED BREED,3,M,False,Brooklyn,11237,2018
145,2018-04-04,DOG,MIXED BREED,3,M,False,Brooklyn,11237,2018
146,2018-03-29,DOG,MIXED BREED,4,M,False,Brooklyn,11216,2018
147,2018-04-04,DOG,MIXED BREED,4,M,False,Brooklyn,11216,2018
148,2018-04-08,DOG,MIXED BREED,2,M,False,Brooklyn,11249,2018
149,2018-04-08,DOG,MIXED BREED,2,M,False,Brooklyn,11249,2018
150,2018-04-07,DOG,Akita,4,M,False,Brooklyn,11207,2018
151,2018-04-08,DOG,SHIH TZU X,3,M,False,Brooklyn,0,2018
152,2018-04-08,DOG,RAT TERRIER MIX,1,U,True,Brooklyn,11211,2018
