uniqueid,dateofbite,species,breed,age,gender,spayneuter,borough,zipcode,year
9361,2015-01-19,DOG,Pit Bull,,U,False,Staten Island,10312,2015
9379,2015-02-02,DOG,MIX LAB,,M,False,Staten Island,10312,2015
9380,2015-02-12,DOG,Pit Bull,,U,False,Staten Island,10312,2015
9381,2015-02-14,DOG,,,U,False,Staten Island,10314,2015
9382,2015-02-16,DOG,Labrador Retriever,,U,False,Staten Island,10314,2015
9383,2015-02-17,DOG,Jack Russ,6,M,True,Staten Island,10308,2015
9389,2015-02-21,DOG,Shih Tzu,,U,False,Staten Island,10312,2015
9390,2015-02-17,DOG,German Shepherd,3,M,True,Staten Island,10312,2015
9393,2015-02-28,DOG,"Welsh Corgi, Pembroke",9,M,False,Staten Island,10314,2015
9400,2015-03-08,DOG,Labrador Retriever Crossbreed,2,M,True,Staten Island,10314,2015
9403,2015-03-10,DOG,Cane Corso,,F,False,Staten Island,10314,2015
9405,2015-03-13,DOG,Cocker Spaniel,,U,False,Staten Island,10314,2015
9408,2015-03-18,DOG,Chihuahua,4,M,False,Staten Island,10314,2015
9409,2015-03-16,DOG,Labrador Retriever,,U,False,Staten Island,10314,2015
9412,2015-03-23,DOG,,,U,False,Staten Island,10314,2015
9418,2015-04-02,DOG,Shiba Inu,6,M,True,Staten Island,10312,2015
9420,2015-04-04,DOG,Labrador Retriever,1,F,True,Staten Island,10308,2015
9421,2015-04-04,DOG,MALTESE - POODLE X,3,M,False,Staten Island,10308,2015
9436,2015-04-03,DOG,Yorkshire Terrier,12,F,True,Staten Island,10312,2015
9437,2015-03-25,DOG,Cocker Spaniel,15,M,True,Staten Island,10312,2015
9440,2015-04-17,DOG,Labrador Retriever,12,M,False,Staten Island,10312,2015
9441,2015-04-18,DOG,Pit Bull,,U,False,Staten Island,10314,2015
9442,2015-04-18,DOG,COOKAPOO,8,M,True,Staten Island,10308,2015
9446,2015-04-20,DOG,JSCK RUSSEL/DALMATION,8,F,True,Staten Island,10314,2015
9474,2015-05-14,DOG,Pit Bull,,U,False,Staten Island,10312,2015
9492,2015-05-16,DOG,German Shepherd,,U,False,Staten Island,10312,2015
9497,2015-05-23,DOG,American Pit Bull Terrier/Pit Bull,4,F,False,Staten Island,10312,2015
9511,2015-06-11,DOG,Labrador Retriever,4,M,True,Staten Island,10314,2015
9515,2015-06-21,DOG,MASTIFF/LABRADOR,12,M,True,Staten Island,10312,2015
9517,2015-06-23,DOG,Beagle,4,M,True,Staten Island,10314,2015
9527,2015-07-04,DOG,Pit Bull,4,M,True,Staten Island,10312,2015
9534,2015-07-11,DOG,AUSTRALIAN CATTLE,5,M,False,Staten Island,10312,2015
9537,2015-07-10,DOG,Yorkshire Terrier,,U,False,Staten Island,10312,2015
9547,2015-07-18,DOG,Pomeranian,,U,False,Staten Island,10314,2015
9548,2015-07-18,DOG,TERRIER,3,M,True,Staten Island,10314,2015
9552,2015-07-20,DOG,Labrador Retriever Crossbreed,,M,False,Staten Island,10308,2015
9553,2015-07-25,DOG,Yorkshire Terrier,4,M,False,Staten Island,10314,2015
9556,2015-07-27,DOG,TERRIER,,U,False,Staten Island,10314,2015
9560,2015-08-02,DOG,ROTTWEILER/BOXER,4,F,True,Staten Island,10314,2015
9561,2015-08-01,DOG,TERRIER,6,M,True,Staten Island,10312,2015
9562,2015-07-27,DOG,Mixed/Other,2,M,True,Staten Island,10314,2015
9565,2015-07-25,DOG,,,U,False,Staten Island,10308,2015
